2025-08-04 07:57:48,998 [1] INFO  App - DreamPoeBot Version: 0.3.26.46
Path: E:\DreamPoeBot_v3.26.17-Stable\DreamPoeBot\<ExeName>
Arguments: E:\DreamPoeBot_v3.26.17-Stable\DreamPoeBot\DreamPoeBot.exe --autostart --config:Default --pid:37260 --silent

OS Name: Майкрософт Windows 10 Домашняя
OS Version: 10.0.19045
OS Architecture: 64-разрядная
InstalledUICulture: ru-RU [Russian (Russia)]
CurrentUICulture: ru-RU [Russian (Russia)]
CurrentCulture: ru-RU [Russian (Russia)]

2025-08-04 07:58:06,772 [19] INFO  ThirdPartyLoader -                    [PlayerMovers] : 
2025-08-04 07:58:06,772 [20] INFO  ThirdPartyLoader - NullBot
2025-08-04 07:58:06,773 [20] INFO  ThirdPartyLoader -                    [Bots] : NullBot (NullBot: 1.0)
2025-08-04 07:58:06,773 [20] INFO  ThirdPartyLoader -                    [Plugins] : 
2025-08-04 07:58:06,773 [20] INFO  ThirdPartyLoader -                    [Routines] : 
2025-08-04 07:58:06,773 [20] INFO  ThirdPartyLoader -                    [Content] : 
2025-08-04 07:58:06,773 [20] INFO  ThirdPartyLoader -                    [PlayerMovers] : 
2025-08-04 07:58:06,774 [13] INFO  ThirdPartyLoader - ExampleMover
2025-08-04 07:58:06,774 [13] INFO  ThirdPartyLoader -                    [Bots] : 
2025-08-04 07:58:06,774 [13] INFO  ThirdPartyLoader -                    [Plugins] : 
2025-08-04 07:58:06,774 [13] INFO  ThirdPartyLoader -                    [Routines] : 
2025-08-04 07:58:06,774 [13] INFO  ThirdPartyLoader -                    [Content] : 
2025-08-04 07:58:06,775 [13] INFO  ThirdPartyLoader -                    [PlayerMovers] : ExampleMover (ExampleMover: 1.0)
2025-08-04 07:58:06,775 [11] INFO  ThirdPartyLoader - ExampleRoutine
2025-08-04 07:58:06,775 [11] INFO  ThirdPartyLoader -                    [Bots] : 
2025-08-04 07:58:06,775 [11] INFO  ThirdPartyLoader -                    [Plugins] : 
2025-08-04 07:58:06,776 [11] INFO  ThirdPartyLoader -                    [Routines] : ExampleRoutine (ExampleRoutine: 1.0)
2025-08-04 07:58:06,776 [11] INFO  ThirdPartyLoader -                    [Content] : 
2025-08-04 07:58:06,776 [11] INFO  ThirdPartyLoader -                    [PlayerMovers] : 
2025-08-04 07:58:06,776 [23] INFO  ThirdPartyLoader - PatherExplorer
2025-08-04 07:58:06,776 [23] INFO  ThirdPartyLoader -                    [Bots] : 
2025-08-04 07:58:06,777 [23] INFO  ThirdPartyLoader -                    [Plugins] : PatherExplorer (PatherExplorer: 0.0.1.4)
2025-08-04 07:58:06,777 [23] INFO  ThirdPartyLoader -                    [Routines] : 
2025-08-04 07:58:06,777 [23] INFO  ThirdPartyLoader -                    [Content] : 
2025-08-04 07:58:06,777 [23] INFO  ThirdPartyLoader -                    [PlayerMovers] : 
2025-08-04 07:58:07,304 [18] DEBUG PluginLoader - [ExPlugins Autoupdater] Archive downloaded in 537ms. Size: 1,967898 MB
2025-08-04 07:58:07,337 [18] DEBUG PluginLoader - [ExPlugins Autoupdater] Archive decompressed in 32ms.
2025-08-04 07:58:07,511 [18] INFO  PluginLoader - [ExPlugins Autoupdater] Loaded: [ExPlugins] v1.6.11.7c <Seusheque> - [ExPlugins] container
2025-08-04 07:58:07,511 [18] INFO  ThirdPartyLoader - PluginLoader
2025-08-04 07:58:07,511 [18] INFO  ThirdPartyLoader -                    [Bots] : 
2025-08-04 07:58:07,512 [18] INFO  ThirdPartyLoader -                    [Plugins] : PluginLoader (ExPlugins Autoupdater: 2.0)
